companyName,issueEndDate,issuePrice,issueSize,issueStartDate,series,status,symbol,fetch_timestamp
Veegaland Developers Limited,15-Sep-2026,Rs.130 to Rs.140,11307692,10-Sep-2026,EQ,Active,VEEGALAND,2026-09-10 03:20:43
LCC Projects Limited,11-Sep-2026,Rs.139 to Rs.146,20927281,09-Sep-2026,EQ,Active,LCCPROJECT,2026-09-10 03:20:43
Karamtara Engineering Limited,11-Sep-2026,Rs.241 to Rs.254,25414937,09-Sep-2026,EQ,Active,KARAMTARA,2026-09-10 03:20:43
Asset Reconstruction Company (India) Limited,11-Sep-2026,Rs.132 to Rs.139,36912363,09-Sep-2026,EQ,Active,ARCIL,2026-09-10 03:20:43
Steamhouse India Limited,11-Sep-2026,Rs.77 to Rs.81,37636363,09-Sep-2026,EQ,Active,STEAMHOUSE,2026-09-10 03:20:43
Manipal Payment and Identity Solutions Limited,11-Sep-2026,Rs.322 to Rs.339,13060472,09-Sep-2026,EQ,Active,MPIMANIPAL,2026-09-10 03:20:43
Rentomojo Limited,11-Sep-2026,Rs.384 to Rs.404,21772311,09-Sep-2026,EQ,Active,RENTOMOJO,2026-09-10 03:20:43
Prasol Chemicals Limited,10-Sep-2026,Rs.643 to Rs.676,5443229,08-Sep-2026,EQ,Active,PRASOLCHEM,2026-09-10 03:20:43
Glass Wall Systems (India) Limited,10-Sep-2026,Rs.172 to Rs.182,16457298,08-Sep-2026,EQ,Active,GLASSWALL,2026-09-10 03:20:43
Kanohar Electricals Limited,10-Sep-2026,Rs.601 to Rs.632,11693326,08-Sep-2026,EQ,Active,KANOHAR,2026-09-10 03:20:43
Pranav Constructions Limited,09-Sep-2026,Rs.118 to Rs.124,22463137,07-Sep-2026,EQ,Closed,PRANAV,2026-09-10 03:20:43
Manika Plastech Limited,16-Sep-2026,Rs.40 to Rs.43,30799418,11-Sep-2026,EQ,Forthcoming,MANIKA,2026-09-10 03:20:43
